site,source,isbn,title,authors
igra_slov,https://igraslov.store/product/kronik-a-viza-v-drugoj-mir-biografiya-o-rabina-artgid-klap/,978-5-6046392-7-6,Кроник А. Виза в другой мир. Биография О. Рабина,Александр Кроник
eksmo,https://eksmo.ru/book/klinika-v-okeane-ITD162993/,978-5-699-51198-3,Клиника в океане,Ирина Градова
eksmo,https://eksmo.ru/book/severnyy-shtorm-ITD162995/,978-5-699-51717-6,Северный шторм,Глушков Р.А.
labirint,https://www.labirint.ru/books/70520/,5-94278-820-0,Обнаженные мужчины: Аманда Филипаччи,Филипаччи Аманда
labirint,https://www.labirint.ru/books/70521/,5-94278-824-3,Записки о Рейчел: Мартин Эмис,Эмис Мартин
eksmo,https://eksmo.ru/book/volshebnik-izumrudnogo-goroda-ITD162998/,978-5-699-49458-3,Волшебник Изумрудного города,Волков А.М.
eksmo,https://eksmo.ru/book/russkaya-armiya-1812-goda-kniga-3-kollektsionnykh-soldata-v-korobke-ITD163004/,978-5-699-50781-8,Русская армия 1812 года (книга+3 коллекционных солдата в коробке),
igra_slov,https://igraslov.store/product/miziano-v-vladimir-arhipov-admarginem-minima-klap/,978-5-91103-201-2,Мизиано В. Владимир Архипов,Виктор Мизиано
labirint,https://www.labirint.ru/books/70523/,5-94278-823-5,Датский король: Владимир Корнев,Корнев Владимир Григорьевич
eksmo,https://eksmo.ru/book/obmani-menya-nezhno-ITD163002/,978-5-699-51421-2,Обмани меня нежно,Андреева Н.В.
eksmo,https://eksmo.ru/book/stambul-ITD163000/,978-5-699-51699-5,Стамбул,Крузе М.А.
igra_slov,https://igraslov.store/product/grimmelshauzen-g-ya-k-simplitsissimus-libra-klap/,978-5-6048184-4-2,Гриммельсхаузен Г. Я. К. Симплициссимус,Гриммельсхаузен Г. Я. К.
igra_slov,https://igraslov.store/product/karila-yu-ohota-na-malenkuyu-shhuku-lajvbuk-myagk/,978-5-907784-40-6,Карила Ю. Охота на маленькую щуку,Юхани Карила
